epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.6459,3.25544,4.70981,4.24383,0.00154,0.39363,0.00255,0.00083,3.14251,4.73465,4.15725,0.003,0.003,0.003
2,205.463,3.30064,4.65179,4.21591,0.0019,0.41112,0.00824,0.0018,3.13202,4.73075,4.14725,0.00609879,0.00609879,0.00609879
3,329.255,3.26193,4.62476,4.16634,0.00179,0.47344,0.00471,0.00144,3.09932,4.7104,4.11056,0.00919636,0.00919636,0.00919636
4,446.048,3.276,4.62045,4.11248,0.00183,0.46768,0.00392,0.00122,3.04008,273.909,4.4223,0.00999406,0.00999406,0.00999406
5,572.431,3.21335,4.51964,4.03811,0.00188,0.47283,0.00694,0.002,2.91928,37.1866,4.2001,0.00999208,0.00999208,0.00999208
6,689.323,3.24628,4.50213,3.90266,0.00118,0.07538,0.0008,0.00011,3.76693,1750.34,14.1137,0.0099901,0.0099901,0.0099901
7,1048.89,3.16863,4.42905,3.74825,0.37607,0.11553,0.00134,0.00039,3.14953,268.106,11.7214,0.00998812,0.00998812,0.00998812
8,1192.58,3.13756,4.4639,3.68766,0.00055,0.18353,0.00042,0.00012,3.26478,328.087,7.04414,0.00998614,0.00998614,0.00998614
9,1291.78,3.14179,4.37873,3.56449,0.01496,0.25687,0.0107,0.00137,3.20606,6.32873,5.43822,0.00998416,0.00998416,0.00998416
10,1392.53,3.16773,4.3594,3.49791,0.50388,0.02239,0.00202,0.00058,3.12818,94.61,4.91164,0.00998218,0.00998218,0.00998218
11,1492.32,3.10911,4.30173,3.41437,0.75275,0.0163,0.00326,0.00083,2.96261,8.28293,3.78145,0.0099802,0.0099802,0.0099802
